timestamp,true_value,rf_prediction,persistence_prediction
2020-08-04 03:25:00,889.51,887.4037085496179,892.74
2020-08-04 03:30:00,885.48,889.1118571274409,892.74
2020-08-04 03:35:00,900.8,888.3264888522368,892.74
2020-08-04 03:40:00,883.44,888.3466336075785,892.74
2020-08-04 03:45:00,880.7,888.5441495798557,892.74
2020-08-04 03:50:00,893.4,888.6643055114359,892.74
2020-08-04 03:55:00,887.72,888.8995394189164,892.74
2020-08-04 04:00:00,883.0,888.7216512498899,892.74
2020-08-04 04:05:00,891.51,888.6529956137018,892.74
2020-08-04 04:10:00,891.47,888.9209733782454,892.74
2020-08-04 04:15:00,880.48,888.4021530289273,892.74
2020-08-04 04:20:00,888.37,888.9563935004035,892.74
2020-08-07 11:20:00,890.23,896.8037922529094,880.19
2020-08-07 11:25:00,894.38,899.2609396579755,880.19
2020-08-07 11:30:00,893.29,900.783414571951,880.19
2020-08-07 11:35:00,898.14,900.4017007685965,880.19
2020-08-07 11:40:00,891.46,900.9564773848286,880.19
2020-08-07 11:45:00,880.98,901.3191540992469,880.19
2020-08-07 11:50:00,896.34,900.7498338857664,880.19
2020-08-07 11:55:00,899.42,899.9489723720291,880.19
2020-08-07 12:00:00,879.9,900.633098831814,880.19
2020-08-07 12:05:00,887.2,900.9720499140167,880.19
2020-08-07 12:10:00,908.5,900.8092860441067,880.19
2020-08-07 12:15:00,880.86,900.8313741546878,880.19
