,cluster
2017-06-16 21:45:00,0
2017-06-16 22:15:00,0
2017-06-16 22:20:00,0
2017-06-16 22:25:00,0
2017-06-16 22:35:00,1
2017-06-16 22:40:00,0
2017-06-22 06:05:00,2
2017-06-22 06:10:00,1
2017-06-22 06:15:00,1
2017-06-22 06:20:00,1
2017-06-22 06:25:00,1
2017-06-22 06:30:00,1
2017-06-22 06:40:00,0
2017-06-22 06:45:00,0
2017-06-22 06:50:00,1
2017-06-22 06:55:00,2
2017-06-24 20:25:00,1
2017-06-24 20:30:00,2
2017-06-24 20:40:00,0
2017-06-24 20:50:00,2
2017-06-25 09:05:00,0
2017-06-25 09:10:00,0
2017-06-25 09:15:00,0
2017-06-26 10:15:00,1
2017-06-26 10:20:00,2
2017-06-26 10:25:00,2
2017-06-26 10:30:00,0
2017-06-26 11:10:00,2
2017-06-28 13:05:00,2
2017-06-28 13:10:00,2
2017-06-28 13:25:00,2
2017-06-30 16:20:00,2
2017-07-11 21:25:00,3
2017-07-11 23:15:00,3
2017-07-12 00:10:00,3
2017-07-20 13:30:00,1
2017-07-20 13:35:00,1
2017-07-20 13:40:00,1
2017-07-20 13:45:00,1
2017-07-20 13:50:00,1
2017-07-20 13:55:00,2
2017-07-20 14:00:00,2
2017-07-20 14:05:00,2
2017-07-20 14:10:00,2
2017-07-20 14:15:00,2
2017-07-20 14:20:00,2
2017-07-20 14:30:00,2
2017-07-20 14:35:00,2
2017-07-28 01:15:00,1
2017-07-28 01:20:00,1
2017-07-28 01:30:00,0
2017-07-29 04:25:00,2
2017-07-29 04:30:00,1
2017-07-31 15:30:00,1
2017-07-31 15:35:00,1
2017-07-31 15:40:00,1
2017-07-31 16:00:00,1
2017-07-31 16:05:00,0
2017-07-31 16:15:00,2
2017-08-05 03:20:00,1
2017-08-05 03:25:00,1
2017-08-05 03:50:00,0
2017-08-05 04:35:00,1
2017-08-05 05:15:00,1
2017-08-05 05:20:00,0
2017-08-09 14:50:00,2
2017-08-13 11:15:00,2
2017-08-13 11:20:00,2
2017-08-20 00:15:00,2
2017-08-20 21:55:00,2
2017-08-22 20:05:00,1
2017-08-22 20:10:00,1
2017-08-28 13:55:00,1
2017-08-28 14:00:00,2
2017-09-09 04:55:00,0
2017-09-09 05:00:00,2
2017-09-09 13:05:00,0
2017-09-09 13:10:00,0
2017-09-09 13:15:00,0
2017-09-09 13:40:00,0
2017-09-09 13:45:00,0
2017-09-09 13:50:00,0
2017-09-09 13:55:00,0
2017-09-09 14:00:00,0
2017-09-09 14:05:00,0
2017-09-09 14:10:00,0
2017-09-11 07:15:00,3
2017-09-11 07:20:00,3
2017-09-11 07:25:00,3
2017-09-12 21:20:00,2
2017-09-13 23:10:00,1
2017-09-13 23:15:00,1
2017-09-13 23:20:00,1
2017-09-13 23:25:00,2
2017-09-13 23:30:00,0
2017-09-14 03:05:00,0
2017-09-14 03:10:00,0
2017-09-17 16:35:00,2
2017-09-17 16:40:00,2
2017-09-17 16:45:00,1
2017-09-17 16:50:00,1
2017-09-17 16:55:00,1
2017-09-17 17:00:00,1
2017-09-17 17:05:00,1
2017-09-17 17:10:00,1
2017-09-17 17:15:00,1
2017-09-17 19:20:00,1
2017-09-17 19:25:00,2
2017-09-19 00:35:00,2
2017-09-19 00:45:00,0
2017-09-19 00:50:00,0
2017-09-19 00:55:00,0
2017-09-19 01:00:00,0
2017-09-19 01:05:00,0
2017-09-19 01:10:00,0
2017-09-19 01:15:00,0
2017-09-19 01:20:00,0
2017-09-19 01:25:00,0
2017-09-19 01:30:00,0
2017-09-19 01:35:00,0
2017-09-19 01:40:00,0
2017-09-19 01:45:00,0
2017-09-19 01:50:00,0
2017-09-19 01:55:00,0
2017-09-19 02:00:00,0
2017-09-19 02:05:00,0
2017-10-11 21:45:00,0
2017-10-11 21:50:00,0
2017-10-11 21:55:00,0
2017-10-11 22:00:00,0
2017-10-11 22:05:00,0
2017-10-11 22:10:00,0
2017-10-11 22:15:00,0
2017-10-11 22:20:00,0
2017-10-11 22:25:00,0
2017-10-11 22:30:00,0
2017-10-11 22:35:00,0
2017-10-11 22:40:00,0
2017-10-11 22:45:00,0
2017-10-11 22:50:00,0
2017-10-19 07:35:00,1
2017-10-19 07:40:00,0
2017-10-19 07:55:00,0
2017-10-19 08:20:00,2
2017-10-19 08:25:00,1
2017-10-19 08:30:00,1
2017-10-19 08:35:00,1
2017-10-19 08:45:00,2
2017-10-19 08:50:00,1
2017-10-19 09:00:00,2
2017-10-19 09:05:00,1
2017-10-19 09:10:00,2
2017-10-20 02:50:00,1
2017-10-20 02:55:00,1
2017-10-20 04:40:00,1
2017-10-20 11:40:00,1
2017-10-20 14:15:00,1
2017-10-20 14:20:00,2
2017-10-21 19:00:00,3
2017-10-23 13:10:00,2
2017-10-23 17:55:00,1
2017-10-23 18:00:00,2
2017-10-23 18:15:00,2
2017-10-23 18:20:00,2
2017-10-23 20:15:00,1
2017-10-23 20:20:00,2
2017-10-23 20:25:00,2
2017-10-25 09:45:00,2
2017-10-25 09:55:00,2
2017-10-25 10:00:00,2
2017-10-27 09:55:00,2
2017-10-27 18:20:00,1
2017-10-27 18:25:00,0
2017-10-27 18:35:00,2
2017-10-27 18:40:00,2
2017-10-27 19:15:00,2
2017-10-27 19:30:00,2
2017-10-28 09:00:00,3
2017-10-31 03:05:00,3
2017-10-31 23:45:00,0
2017-10-31 23:50:00,0
