,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft
Cyclone_Inlet_Gas_Temp,1.0,0.9091195064398087,-0.8423002682523641,-0.8431751917665956,0.8844526783251206,-0.8361526643147825
Cyclone_Material_Temp,0.9091195064398087,1.0,-0.8086562351026363,-0.8223462205959683,0.8571045989529401,-0.803627601509335
Cyclone_Outlet_Gas_draft,-0.8423002682523641,-0.8086562351026363,1.0,0.9574891571866546,-0.8508046166876123,0.9928469745426736
Cyclone_cone_draft,-0.8431751917665956,-0.8223462205959683,0.9574891571866546,1.0,-0.8523923371817349,0.95748374660111
Cyclone_Gas_Outlet_Temp,0.8844526783251206,0.8571045989529401,-0.8508046166876123,-0.8523923371817349,1.0,-0.8504316355607492
Cyclone_Inlet_Draft,-0.8361526643147825,-0.803627601509335,0.9928469745426736,0.95748374660111,-0.8504316355607492,1.0
