,count,mean,std,min,25%,50%,75%,max
Cyclone_Inlet_Gas_Temp,378580.0,869.9972629020704,48.2246617373147,788.455,856.0,882.32,901.03,968.5749999999999
Cyclone_Material_Temp,378580.0,890.1963730225815,78.5141209037617,752.935,867.28,913.17,943.51,1057.855
Cyclone_Outlet_Gas_draft,378580.0,-189.19995693615323,78.66524187120474,-363.31500000000005,-247.08,-215.26,-169.59,-53.35499999999999
Cyclone_cone_draft,378580.0,-167.46441134304504,84.66234805980197,-352.435,-226.72,-198.53,-142.91,-17.194999999999993
Cyclone_Gas_Outlet_Temp,378580.0,830.2600682902777,101.10344787737291,651.6399999999999,800.2075,871.36,899.2525,1047.8200000000002
Cyclone_Inlet_Draft,378580.0,-151.46074953407762,59.28959328338162,-279.735,-193.38,-169.42,-135.81,-49.45500000000001
